"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 07, 2018","0.122400","0.136000","0.146900","0.120000","39.60M","-10.33%"
"Feb 08, 2018","0.130100","0.122700","0.138800","0.121600","37.18M","6.29%"
"Feb 09, 2018","0.142000","0.129800","0.147900","0.118900","37.42M","9.15%"
"Feb 10, 2018","0.129700","0.141800","0.146600","0.124900","23.60M","-8.66%"
"Feb 11, 2018","0.116200","0.129700","0.130500","0.106800","20.20M","-10.41%"
"Feb 12, 2018","0.116000","0.119600","0.125100","0.110100","22.13M","-0.17%"
"Feb 13, 2018","0.114900","0.116200","0.118000","0.112800","17.88M","-0.95%"
"Feb 14, 2018","0.128900","0.114900","0.129900","0.113600","21.40M","12.18%"
"Feb 15, 2018","0.141500","0.129000","0.162000","0.121300","41.91M","9.78%"
"Feb 16, 2018","0.140700","0.140900","0.144500","0.131500","24.18M","-0.57%"
"Feb 17, 2018","0.166700","0.140500","0.194900","0.138300","38.83M","18.48%"
"Feb 18, 2018","0.166600","0.167500","0.187000","0.150400","35.84M","-0.06%"
"Feb 19, 2018","0.169200","0.166900","0.178000","0.163700","20.95M","1.56%"
"Feb 20, 2018","0.143100","0.169100","0.171500","0.142000","24.59M","-15.43%"
"Feb 21, 2018","0.127800","0.143000","0.148000","0.123100","23.37M","-10.69%"
"Feb 22, 2018","0.129500","0.127800","0.144100","0.119400","22.57M","1.33%"
"Feb 23, 2018","0.130600","0.129500","0.136000","0.123600","19.13M","0.85%"
"Feb 24, 2018","0.125800","0.131000","0.136800","0.121500","17.95M","-3.68%"
"Feb 25, 2018","0.113600","0.125800","0.129200","0.112300","19.70M","-9.70%"
"Feb 26, 2018","0.124700","0.113300","0.132500","0.111700","23.84M","9.77%"
"Feb 27, 2018","0.138600","0.124600","0.149800","0.120500","26.47M","11.15%"
"Feb 28, 2018","0.146000","0.138500","0.149000","0.130900","31.91M","5.34%"
"Mar 01, 2018","0.215000","0.146300","0.215000","0.145400","67.59M","47.26%"
"Mar 02, 2018","0.194200","0.213100","0.213900","0.170200","56.38M","-9.67%"
"Mar 03, 2018","0.229100","0.194600","0.234800","0.180700","47.62M","17.97%"
"Mar 04, 2018","0.214400","0.229500","0.243300","0.197800","49.75M","-6.42%"
"Mar 05, 2018","0.214600","0.214700","0.224200","0.202100","35.86M","0.09%"
"Mar 06, 2018","0.203300","0.214600","0.218900","0.182100","33.64M","-5.27%"
"Mar 07, 2018","0.167700","0.204000","0.207900","0.152200","31.87M","-17.51%"
"Mar 08, 2018","0.136000","0.167700","0.177300","0.130600","34.27M","-18.90%"
"Mar 09, 2018","0.167600","0.136600","0.175600","0.119000","45.42M","23.24%"
"Mar 10, 2018","0.163200","0.165500","0.193000","0.155500","76.49M","-2.63%"
"Mar 11, 2018","0.181200","0.162400","0.188800","0.151000","66.00M","11.03%"
"Mar 12, 2018","0.167700","0.181600","0.182900","0.161000","36.09M","-7.45%"
"Mar 13, 2018","0.162900","0.167700","0.169000","0.155500","18.85M","-2.86%"
"Mar 14, 2018","0.146200","0.162700","0.163500","0.145000","23.17M","-10.25%"
"Mar 15, 2018","0.145900","0.146100","0.149400","0.132100","24.33M","-0.21%"
"Mar 16, 2018","0.145700","0.145400","0.152900","0.137600","20.13M","-0.14%"
"Mar 17, 2018","0.142100","0.146100","0.149900","0.138700","17.01M","-2.47%"
"Mar 18, 2018","0.138600","0.142000","0.142400","0.119100","23.59M","-2.46%"
"Mar 19, 2018","0.148300","0.138700","0.150500","0.135700","23.58M","7.00%"
"Mar 20, 2018","0.154600","0.148500","0.162900","0.137400","27.28M","4.25%"
"Mar 21, 2018","0.154200","0.154500","0.166000","0.149100","21.54M","-0.26%"
"Mar 22, 2018","0.148600","0.154100","0.158000","0.140200","19.53M","-3.63%"
"Mar 23, 2018","0.151200","0.148500","0.154100","0.138400","21.21M","1.75%"
"Mar 24, 2018","0.143600","0.151000","0.156000","0.143600","21.27M","-5.03%"
"Mar 25, 2018","0.143700","0.143800","0.149200","0.141700","16.16M","0.07%"
"Mar 26, 2018","0.131900","0.143500","0.145300","0.125300","20.16M","-8.21%"
"Mar 27, 2018","0.128200","0.131700","0.134600","0.125100","14.52M","-2.81%"
"Mar 28, 2018","0.133600","0.127900","0.139700","0.126400","21.69M","4.21%"
"Mar 29, 2018","0.118400","0.132900","0.135300","0.115900","21.38M","-11.38%"
"Mar 30, 2018","0.115900","0.118300","0.122700","0.112800","20.84M","-2.11%"
"Mar 31, 2018","0.116200","0.115900","0.123300","0.113800","18.35M","0.26%"
"Apr 01, 2018","0.107800","0.116400","0.118900","0.104900","17.80M","-7.23%"
"Apr 02, 2018","0.114800","0.107500","0.117900","0.105700","22.88M","6.49%"
"Apr 03, 2018","0.118600","0.114400","0.121900","0.112700","21.45M","3.31%"
"Apr 04, 2018","0.108700","0.118600","0.119200","0.107000","19.44M","-8.35%"
"Apr 05, 2018","0.107000","0.108600","0.112000","0.104600","18.64M","-1.56%"
"Apr 06, 2018","0.100300","0.106800","0.109800","0.098600","21.61M","-6.26%"
"Apr 07, 2018","0.103700","0.100300","0.108400","0.100200","20.81M","3.39%"
"Apr 08, 2018","0.104800","0.103700","0.108300","0.102800","18.86M","1.06%"
"Apr 09, 2018","0.106000","0.104800","0.109500","0.100000","24.67M","1.15%"
