"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2017","0.002492","0.002130","0.002589","0.002098","303.52M","17.00%"
"Nov 15, 2017","0.002278","0.002492","0.002600","0.002211","403.10M","-8.59%"
"Nov 16, 2017","0.002156","0.002278","0.002315","0.001783","557.62M","-5.36%"
"Nov 17, 2017","0.001911","0.002156","0.002200","0.001900","939.79M","-11.36%"
"Nov 18, 2017","0.002006","0.001911","0.002116","0.001900","1.06B","4.97%"
"Nov 19, 2017","0.001994","0.002007","0.002197","0.001876","1.07B","-0.60%"
"Nov 20, 2017","0.002156","0.001993","0.002180","0.001992","768.35M","8.12%"
"Nov 21, 2017","0.002146","0.002156","0.002197","0.002006","559.88M","-0.46%"
"Nov 22, 2017","0.002347","0.002146","0.002495","0.002130","507.36M","9.37%"
"Nov 23, 2017","0.002172","0.002347","0.002459","0.001962","499.66M","-7.46%"
"Nov 24, 2017","0.002022","0.002172","0.002193","0.001904","497.72M","-6.91%"
"Nov 25, 2017","0.002021","0.002022","0.002132","0.001950","504.47M","-0.05%"
"Nov 26, 2017","0.002000","0.002022","0.002364","0.001950","467.20M","-1.04%"
"Nov 27, 2017","0.001902","0.002000","0.002249","0.001862","482.73M","-4.90%"
"Nov 28, 2017","0.002250","0.001902","0.002406","0.001902","478.31M","18.30%"
"Nov 29, 2017","0.001990","0.002250","0.003871","0.001915","475.81M","-11.56%"
"Nov 30, 2017","0.002079","0.001990","0.002540","0.001990","294.28M","4.47%"
"Dec 01, 2017","0.001996","0.002070","0.002400","0.001980","429.76M","-3.99%"
"Dec 02, 2017","0.002002","0.001996","0.002374","0.001990","464.66M","0.30%"
"Dec 03, 2017","0.002010","0.002002","0.002362","0.001990","467.67M","0.40%"
"Dec 04, 2017","0.002055","0.002010","0.002300","0.001990","440.55M","2.24%"
"Dec 05, 2017","0.002018","0.002055","0.002148","0.002018","448.07M","-1.80%"
"Dec 06, 2017","0.002300","0.002018","0.003333","0.001915","481.82M","13.97%"
"Dec 07, 2017","0.003300","0.002300","0.004790","0.002250","518.75M","43.48%"
"Dec 08, 2017","0.003800","0.003300","0.004033","0.002906","383.52M","15.15%"
"Dec 09, 2017","0.003909","0.003800","0.004750","0.003800","138.53M","2.87%"
"Dec 10, 2017","0.004086","0.003909","0.004250","0.002880","121.99M","4.53%"
"Dec 11, 2017","0.004751","0.004086","0.005100","0.004086","135.02M","16.28%"
"Dec 12, 2017","0.006322","0.004751","0.007286","0.004500","130.91M","33.07%"
