"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2018","3.08000","3.30450","3.89480","2.63390","12.20K","-6.79%"
"Feb 03, 2018","3.30770","3.08000","3.35320","2.71000","5.57K","7.39%"
"Feb 04, 2018","2.88760","3.30770","4.01240","2.88760","3.33K","-12.70%"
"Feb 05, 2018","3.16690","2.88760","3.16690","2.50000","2.77K","9.67%"
"Feb 06, 2018","2.50000","3.16690","3.16690","2.01520","3.28K","-21.06%"
"Feb 07, 2018","2.56190","2.50000","3.18000","2.19800","5.25K","2.48%"
"Feb 08, 2018","3.05740","2.56190","3.29710","2.54650","2.08K","19.34%"
"Feb 09, 2018","3.43140","3.05740","3.68690","2.91480","5.90K","12.23%"
"Feb 10, 2018","3.31000","3.43140","3.67110","3.28080","4.08K","-3.54%"
"Feb 11, 2018","3.12660","3.31000","3.31000","3.09080","1.34K","-5.54%"
"Feb 12, 2018","3.69800","3.12660","3.97630","3.12660","3.46K","18.28%"
"Feb 13, 2018","3.33340","3.69800","3.69800","2.45800","29.15K","-9.86%"
"Feb 14, 2018","2.70500","3.33340","3.33340","2.50000","104.42K","-18.85%"
"Feb 15, 2018","2.64220","2.70500","2.71870","2.62990","39.19K","-2.32%"
"Feb 16, 2018","2.63000","2.64220","2.71900","2.52370","14.86K","-0.46%"
"Feb 17, 2018","2.73550","2.63000","2.74900","2.56810","18.77K","4.01%"
"Feb 18, 2018","2.81000","2.73550","2.81500","2.60000","13.54K","2.72%"
"Feb 19, 2018","3.31000","2.81000","3.80000","2.69980","30.13K","17.79%"
"Feb 20, 2018","3.95670","3.31000","4.68040","3.30000","55.54K","19.54%"
"Feb 21, 2018","3.50400","3.95670","4.09340","3.50400","16.64K","-11.44%"
"Feb 22, 2018","3.93410","3.50400","4.84080","3.05000","19.48K","12.27%"
"Feb 23, 2018","4.67430","3.93410","4.81200","3.47900","15.83K","18.81%"
"Feb 24, 2018","5.04240","4.67430","5.05280","4.37000","16.32K","7.87%"
"Feb 25, 2018","4.56480","5.04240","5.10000","4.41470","11.18K","-9.47%"
"Feb 26, 2018","3.92310","4.56480","5.00000","3.20000","29.76K","-14.06%"
"Feb 27, 2018","4.34060","3.92310","4.48390","3.70820","22.82K","10.64%"
"Feb 28, 2018","4.22000","4.34060","4.70680","4.00190","15.45K","-2.78%"
"Mar 01, 2018","4.28650","4.22000","4.69000","4.20000","7.54K","1.58%"
"Mar 02, 2018","4.43790","4.28650","4.59110","4.24380","7.22K","3.53%"
"Mar 03, 2018","4.46440","4.43790","4.62900","4.20300","7.15K","0.60%"
"Mar 04, 2018","4.35000","4.46440","4.62910","4.24000","5.13K","-2.56%"
