"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 25, 2020","0.35831","0.41046","0.41046","0.34989","252.00M","-13.04%"
"Dec 26, 2020","0.48338","0.35882","0.48338","0.33211","540.35M","34.91%"
"Dec 27, 2020","0.39660","0.48480","0.48480","0.39459","362.44M","-17.95%"
"Dec 28, 2020","0.38048","0.39678","0.42940","0.38027","243.54M","-4.06%"
"Dec 29, 2020","0.37395","0.38084","0.38084","0.34113","158.32M","-1.72%"
"Dec 30, 2020","0.37493","0.37579","0.38613","0.35641","141.84M","0.26%"
"Dec 31, 2020","0.34996","0.37465","0.37465","0.34805","77.72M","-6.66%"
"Jan 01, 2021","0.36200","0.35046","0.37084","0.34874","106.54M","3.44%"
"Jan 02, 2021","0.32754","0.36189","0.36189","0.31626","84.83M","-9.52%"
"Jan 03, 2021","0.29795","0.32600","0.32991","0.29795","153.37M","-9.03%"
"Jan 04, 2021","0.30785","0.29894","0.33013","0.29690","141.66M","3.32%"
"Jan 05, 2021","0.33841","0.30907","0.34495","0.29104","139.04M","9.93%"
"Jan 06, 2021","0.36963","0.34014","0.37482","0.32488","218.38M","9.23%"
"Jan 07, 2021","0.34633","0.37200","0.38707","0.34633","196.78M","-6.30%"
"Jan 08, 2021","0.32903","0.34793","0.34793","0.32311","142.11M","-5.00%"
"Jan 09, 2021","0.34849","0.32857","0.35925","0.32276","115.58M","5.91%"
"Jan 10, 2021","0.32602","0.35111","0.37513","0.31312","125.86M","-6.45%"
"Jan 11, 2021","0.29053","0.32688","0.32688","0.24156","138.09M","-10.89%"
"Jan 12, 2021","0.27762","0.29160","0.30545","0.27667","71.62M","-4.44%"
"Jan 13, 2021","0.32547","0.27724","0.33182","0.27291","107.42M","17.24%"
"Jan 14, 2021","0.33419","0.32405","0.35375","0.32405","110.36M","2.68%"
"Jan 15, 2021","0.33861","0.33428","0.38093","0.32650","178.46M","1.32%"
"Jan 16, 2021","0.46807","0.33761","0.46807","0.33761","279.08M","38.23%"
"Jan 17, 2021","0.52084","0.46088","0.55300","0.42182","306.72M","11.27%"
"Jan 18, 2021","0.61832","0.52561","0.64225","0.52561","323.39M","18.72%"
"Jan 19, 2021","0.54084","0.61769","0.61769","0.53355","197.89M","-12.53%"
"Jan 20, 2021","0.52203","0.53749","0.57099","0.49310","138.10M","-3.48%"
"Jan 21, 2021","0.43617","0.52360","0.54825","0.43617","135.24M","-16.45%"
"Jan 22, 2021","0.51054","0.43619","0.54400","0.42085","184.50M","17.05%"
"Jan 23, 2021","0.58522","0.51167","0.58522","0.51167","158.71M","14.63%"
"Jan 24, 2021","0.55399","0.58716","0.58716","0.53267","125.39M","-5.34%"
"Jan 25, 2021","0.52890","0.55563","0.57854","0.52890","94.35M","-4.53%"
"Jan 26, 2021","0.53688","0.52888","0.53688","0.49554","82.80M","1.51%"
"Jan 27, 2021","0.48587","0.53700","0.53700","0.48280","84.71M","-9.50%"
"Jan 28, 2021","0.55665","0.48401","0.57098","0.48401","136.14M","14.57%"
"Jan 29, 2021","0.55302","0.55569","0.60351","0.53582","206.87M","-0.65%"
"Jan 30, 2021","0.63605","0.55316","0.65393","0.55316","170.69M","15.01%"
"Jan 31, 2021","0.79570","0.63604","0.79570","0.62841","281.66M","25.10%"
"Feb 01, 2021","0.78429","0.79023","0.83363","0.77190","180.13M","-1.43%"
"Feb 02, 2021","0.75299","0.78430","0.80287","0.74066","109.63M","-3.99%"
"Feb 03, 2021","0.82462","0.75584","0.82462","0.73724","112.35M","9.51%"
