"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 2019","1.7718","1.8775","1.9412","1.7177","2.64M","-5.63%"
"Jun 28, 2019","1.8282","1.7718","1.9033","1.7256","1.26M","3.18%"
"Jun 29, 2019","1.9064","1.8282","1.9181","1.7988","1.01M","4.28%"
"Jun 30, 2019","1.7616","1.9064","1.9188","1.7536","1.03M","-7.60%"
"Jul 01, 2019","1.7483","1.7616","1.8047","1.7460","714.55K","-0.75%"
"Jul 02, 2019","1.7262","1.7483","1.7570","1.6658","2.41M","-1.27%"
"Jul 03, 2019","1.7003","1.7262","1.7555","1.6656","763.82K","-1.50%"
"Jul 04, 2019","1.7873","1.7003","1.8040","1.6996","1.01M","5.12%"
"Jul 05, 2019","1.7647","1.7873","1.8048","1.6902","873.96K","-1.26%"
"Jul 06, 2019","1.7145","1.7647","1.7712","1.7129","336.31K","-2.85%"
"Jul 07, 2019","1.7330","1.7145","1.7510","1.6975","251.60K","1.08%"
"Jul 08, 2019","1.6196","1.7330","1.7490","1.6182","1.10M","-6.54%"
"Jul 09, 2019","1.5870","1.6196","1.6248","1.4851","2.84M","-2.02%"
"Jul 10, 2019","1.5039","1.5870","1.5909","1.4825","1.82M","-5.23%"
"Jul 11, 2019","1.5094","1.5039","1.5675","1.4666","1.93M","0.36%"
"Jul 12, 2019","1.4902","1.5094","1.5222","1.4209","1.16M","-1.27%"
"Jul 13, 2019","1.4276","1.4902","1.4994","1.4211","391.30K","-4.20%"
"Jul 14, 2019","1.4121","1.4276","1.4398","1.3912","1.34M","-1.09%"
"Jul 15, 2019","1.4516","1.4121","1.4659","1.3679","1.64M","2.80%"
"Jul 16, 2019","1.3491","1.4515","1.4610","1.3336","1.68M","-7.06%"
"Jul 17, 2019","1.3445","1.3489","1.3797","1.2998","1.83M","-0.34%"
"Jul 18, 2019","1.3302","1.3444","1.3453","1.2327","2.03M","-1.06%"
"Jul 19, 2019","1.2498","1.3302","1.3302","1.2106","6.37M","-6.04%"
"Jul 20, 2019","1.2591","1.2498","1.3840","1.2102","1.33M","0.74%"
"Jul 21, 2019","1.2776","1.2591","1.3433","1.2307","622.70K","1.48%"
"Jul 22, 2019","1.3004","1.2776","1.3467","1.2732","1.08M","1.78%"
"Jul 23, 2019","1.3067","1.3004","1.3379","1.2611","760.96K","0.48%"
"Jul 24, 2019","1.3210","1.3067","1.3285","1.2773","684.62K","1.09%"
"Jul 25, 2019","1.2951","1.3210","1.3269","1.2809","783.35K","-1.96%"
"Jul 26, 2019","1.2785","1.2951","1.3197","1.2611","1.10M","-1.28%"
"Jul 27, 2019","1.2895","1.2785","1.2907","1.2609","908.95K","0.85%"
"Jul 28, 2019","1.2835","1.2895","1.2927","1.2549","342.42K","-0.46%"
"Jul 29, 2019","1.3489","1.2835","1.3533","1.2771","720.16K","5.09%"
"Jul 30, 2019","1.3339","1.3489","1.3636","1.2937","1.31M","-1.11%"
"Jul 31, 2019","1.3100","1.3339","1.3380","1.2939","802.12K","-1.79%"
"Aug 01, 2019","1.3082","1.3100","1.3155","1.2779","1.54M","-0.13%"
"Aug 02, 2019","1.2871","1.3082","1.3157","1.2710","1.08M","-1.62%"
"Aug 03, 2019","1.3242","1.2871","1.3242","1.2825","752.56K","2.88%"
