"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2020","2.5690","2.1881","2.5690","2.1881","29.79M","17.23%"
"Nov 07, 2020","2.4750","2.5742","2.9334","2.4750","38.13M","-3.66%"
"Nov 08, 2020","2.8724","2.4725","2.8724","2.4725","13.01M","16.06%"
"Nov 09, 2020","2.6800","2.8603","2.8603","2.6235","11.03M","-6.70%"
"Nov 10, 2020","3.0751","2.6779","3.0751","2.6401","16.79M","14.74%"
"Nov 11, 2020","2.9341","3.0851","3.1348","2.9341","12.86M","-4.59%"
"Nov 12, 2020","2.9598","2.9332","3.0780","2.8921","9.93M","0.88%"
"Nov 13, 2020","3.8543","2.9598","3.8543","2.9540","24.14M","30.22%"
"Nov 14, 2020","3.8104","3.8461","3.8572","3.6101","22.33M","-1.14%"
"Nov 15, 2020","3.8431","3.8127","4.1955","3.6500","23.58M","0.86%"
"Nov 16, 2020","3.5650","3.8254","3.8533","3.5061","24.09M","-7.24%"
"Nov 17, 2020","3.8082","3.5659","3.8082","3.5659","18.16M","6.82%"
"Nov 18, 2020","3.4599","3.8149","3.8149","3.3328","15.44M","-9.15%"
"Nov 19, 2020","3.7255","3.4625","3.8250","3.2791","18.70M","7.68%"
"Nov 20, 2020","3.8603","3.7417","3.9980","3.7125","17.02M","3.62%"
"Nov 21, 2020","3.8382","3.8570","3.9228","3.6573","15.60M","-0.57%"
"Nov 22, 2020","3.6830","3.8524","3.8524","3.6198","11.20M","-4.04%"
"Nov 23, 2020","4.1816","3.7036","4.2177","3.6382","15.96M","13.54%"
"Nov 24, 2020","4.0693","4.1946","4.3533","4.0029","18.39M","-2.69%"
"Nov 25, 2020","3.6716","4.0630","4.0630","3.6716","11.37M","-9.77%"
"Nov 26, 2020","3.4284","3.6639","3.7030","3.2067","17.18M","-6.62%"
"Nov 27, 2020","3.3108","3.4440","3.4770","3.2537","8.37M","-3.43%"
"Nov 28, 2020","3.4616","3.3101","3.4913","3.2922","5.74M","4.55%"
"Nov 29, 2020","3.5508","3.4610","3.5508","3.3952","4.76M","2.58%"
"Nov 30, 2020","3.7794","3.5635","3.7794","3.5589","8.22M","6.44%"
"Dec 01, 2020","3.5491","3.7765","3.9250","3.5491","9.91M","-6.09%"
"Dec 02, 2020","3.9435","3.5455","4.0561","3.5455","12.01M","11.11%"
"Dec 03, 2020","3.8829","3.9426","3.9848","3.8388","6.93M","-1.54%"
"Dec 04, 2020","3.5170","3.8756","3.8756","3.5170","4.75M","-9.42%"
"Dec 05, 2020","3.6861","3.5169","3.6861","3.4967","3.90M","4.81%"
"Dec 06, 2020","3.6480","3.6829","3.7189","3.5294","3.55M","-1.03%"
"Dec 07, 2020","3.7576","3.6542","3.8043","3.5799","5.87M","3.00%"
"Dec 08, 2020","3.2979","3.7610","3.7610","3.2979","7.19M","-12.23%"
"Dec 09, 2020","3.3570","3.2902","3.3685","3.2010","6.53M","1.79%"
"Dec 10, 2020","3.2365","3.3591","3.3591","3.2356","3.06M","-3.59%"
"Dec 11, 2020","2.9575","3.2442","3.2442","2.9544","5.10M","-8.62%"
"Dec 12, 2020","3.1225","2.9684","3.1500","2.9684","3.89M","5.58%"
"Dec 13, 2020","3.3440","3.1217","3.3440","3.1123","3.30M","7.09%"
"Dec 14, 2020","3.4780","3.3440","3.4780","3.2565","4.31M","4.01%"
"Dec 15, 2020","3.3285","3.4861","3.4861","3.3285","5.01M","-4.30%"
"Dec 16, 2020","3.5377","3.3256","3.5377","3.2935","6.14M","6.29%"
"Dec 17, 2020","3.6951","3.5359","3.9726","3.4738","14.18M","4.45%"
"Dec 18, 2020","3.7646","3.6955","3.7975","3.6621","7.21M","1.88%"
"Dec 19, 2020","3.9622","3.7715","4.1911","3.7586","16.33M","5.25%"
"Dec 20, 2020","3.7630","3.9594","3.9659","3.7614","7.89M","-5.03%"
"Dec 21, 2020","3.5094","3.7577","3.8132","3.4676","8.73M","-6.74%"
"Dec 22, 2020","3.7346","3.5190","3.7346","3.3942","9.91M","6.42%"
"Dec 23, 2020","3.3257","3.7301","3.7322","3.3257","9.03M","-10.95%"
"Dec 24, 2020","3.5227","3.3051","3.5227","3.1675","6.36M","5.92%"
"Dec 25, 2020","3.5023","3.5240","3.5836","3.4385","5.35M","-0.58%"
"Dec 26, 2020","3.4183","3.5038","3.5342","3.4183","5.81M","-2.40%"
"Dec 27, 2020","3.5959","3.4156","3.6803","3.4156","9.41M","5.20%"
"Dec 28, 2020","3.7330","3.6001","3.8584","3.6001","7.19M","3.81%"
"Dec 29, 2020","3.6695","3.7276","3.7276","3.5435","5.31M","-1.70%"
"Dec 30, 2020","4.1503","3.6887","4.1715","3.6562","12.47M","13.10%"
"Dec 31, 2020","5.1563","4.1569","5.1563","4.0127","22.06M","24.24%"
"Jan 01, 2021","4.7353","5.1500","5.1566","4.7339","12.82M","-8.16%"
"Jan 02, 2021","4.8564","4.7404","4.8564","4.5990","15.42M","2.56%"
"Jan 03, 2021","5.4475","4.8594","5.4475","4.7537","15.87M","12.17%"
"Jan 04, 2021","5.4145","5.5415","6.1680","5.1734","17.85M","-0.61%"
"Jan 05, 2021","6.2514","5.4576","6.5372","5.2889","13.11M","15.46%"
"Jan 06, 2021","6.4157","6.2815","6.4157","6.0635","8.26M","2.63%"
"Jan 07, 2021","6.2545","6.4291","6.5621","6.1742","7.83M","-2.51%"
"Jan 08, 2021","5.8785","6.2717","6.2717","5.7287","8.26M","-6.01%"
"Jan 09, 2021","6.2200","5.8800","6.2795","5.7366","5.96M","5.81%"
"Jan 10, 2021","5.9777","6.2405","6.5336","5.6600","7.47M","-3.90%"
"Jan 11, 2021","5.2346","5.9840","5.9840","4.5443","14.90M","-12.43%"
"Jan 12, 2021","5.5824","5.2425","5.6677","5.0939","8.25M","6.64%"
"Jan 13, 2021","6.3616","5.5785","6.3616","5.4712","6.79M","13.96%"
"Jan 14, 2021","6.9526","6.3423","6.9526","6.3014","10.43M","9.29%"
"Jan 15, 2021","7.3796","6.9680","7.3796","6.8129","16.79M","6.14%"
"Jan 16, 2021","8.3968","7.3762","8.6555","7.3558","16.66M","13.78%"
"Jan 17, 2021","8.6890","8.4010","8.8451","8.2490","12.23M","3.48%"
"Jan 18, 2021","9.1918","8.6900","9.4627","8.5449","10.12M","5.79%"
"Jan 19, 2021","8.6185","9.1800","9.3098","8.6185","8.64M","-6.24%"
