"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2017","0.259000","0.284000","0.284000","0.201000","6.17K","-8.80%"
"Oct 13, 2017","0.198000","0.259000","0.500000","0.154000","35.90K","-23.55%"
"Oct 14, 2017","0.244000","0.198000","0.403000","0.193000","155.68K","23.23%"
"Oct 15, 2017","0.207000","0.244000","0.244000","0.207000","0.66K","-15.16%"
"Oct 16, 2017","0.211000","0.207000","0.277000","0.207000","3.61K","1.93%"
"Oct 17, 2017","0.224000","0.211000","0.250000","0.209000","104.25K","6.16%"
"Oct 18, 2017","0.278000","0.224000","0.436000","0.176000","139.21K","24.11%"
"Oct 19, 2017","0.251000","0.278000","0.365000","0.234000","82.33K","-9.71%"
"Oct 20, 2017","0.226000","0.251000","0.388000","0.211000","28.43K","-9.96%"
"Oct 21, 2017","0.229000","0.226000","0.240000","0.213000","42.74K","1.33%"
"Oct 22, 2017","0.214000","0.229000","0.229000","0.211000","16.28K","-6.55%"
"Oct 23, 2017","0.237000","0.214000","0.342000","0.152000","3.12M","10.75%"
"Oct 24, 2017","0.244000","0.237000","0.299000","0.231000","3.35M","2.95%"
"Oct 25, 2017","0.226000","0.244000","0.269000","0.209000","2.54M","-7.38%"
"Oct 26, 2017","0.217000","0.226000","0.255000","0.209000","1.97M","-3.98%"
"Oct 27, 2017","0.204000","0.217000","0.237000","0.195000","1.58M","-5.99%"
"Oct 28, 2017","0.193000","0.204000","0.230000","0.193000","398.67K","-5.39%"
"Oct 29, 2017","0.195000","0.193000","0.223000","0.190000","141.70K","1.04%"
"Oct 30, 2017","0.217000","0.195000","0.248000","0.195000","1.19M","11.28%"
"Oct 31, 2017","0.212000","0.217000","0.236000","0.207000","1.35M","-2.30%"
"Nov 01, 2017","0.184000","0.212000","0.227000","0.170000","1.76M","-13.21%"
"Nov 02, 2017","0.178000","0.184000","0.224000","0.160000","5.10M","-3.26%"
"Nov 03, 2017","0.152000","0.178000","0.200000","0.130000","2.52M","-14.61%"
"Nov 04, 2017","0.205000","0.152000","0.230000","0.140000","1.61M","34.87%"
"Nov 05, 2017","0.212000","0.205000","0.219000","0.153000","333.95K","3.41%"
"Nov 06, 2017","0.239000","0.212000","0.265000","0.156000","2.34M","12.74%"
"Nov 07, 2017","0.247000","0.239000","0.253000","0.200000","1.37M","3.35%"
"Nov 08, 2017","0.277000","0.247000","0.286000","0.212000","3.00M","12.15%"
"Nov 09, 2017","0.266000","0.277000","0.287000","0.236000","1.38M","-3.97%"
"Nov 10, 2017","0.237000","0.266000","0.288000","0.216000","1.27M","-10.90%"
"Nov 11, 2017","0.227000","0.237000","0.288000","0.216000","1.62M","-4.22%"
"Nov 12, 2017","0.206000","0.227000","0.284000","0.198000","5.15M","-9.25%"
"Nov 13, 2017","0.218000","0.206000","0.240000","0.169000","1.62M","5.83%"
"Nov 14, 2017","0.234000","0.218000","0.243000","0.180000","1.54M","7.34%"
"Nov 15, 2017","0.261000","0.234000","0.264000","0.206000","1.78M","11.54%"
"Nov 16, 2017","0.281000","0.261000","0.347000","0.246000","3.59M","7.66%"
"Nov 17, 2017","0.255000","0.281000","0.317000","0.238000","2.13M","-9.25%"
"Nov 18, 2017","0.264000","0.255000","0.301000","0.244000","980.44K","3.53%"
"Nov 19, 2017","0.246000","0.264000","0.299000","0.239000","964.94K","-6.82%"
"Nov 20, 2017","0.266000","0.246000","0.300000","0.239000","1.03M","8.13%"
"Nov 21, 2017","0.266000","0.266000","0.294000","0.240000","1.04M","0.00%"
"Nov 22, 2017","0.263000","0.266000","0.279000","0.248000","919.14K","-1.13%"
"Nov 23, 2017","0.246000","0.263000","0.288000","0.242000","2.80M","-6.46%"
"Nov 24, 2017","0.258000","0.246000","0.280000","0.223000","1.97M","4.88%"
"Nov 25, 2017","0.255000","0.258000","0.299000","0.241000","817.76K","-1.16%"
"Nov 26, 2017","0.244000","0.255000","0.292000","0.240000","377.20K","-4.31%"
"Nov 27, 2017","0.232000","0.244000","0.269000","0.230000","178.80K","-4.92%"
"Nov 28, 2017","0.271000","0.232000","0.294000","0.232000","428.67K","16.81%"
"Nov 29, 2017","0.231000","0.271000","0.297000","0.215000","398.62K","-14.76%"
"Nov 30, 2017","0.250000","0.231000","0.260000","0.215000","388.10K","8.23%"
"Dec 01, 2017","0.325000","0.250000","0.400000","0.220000","343.83K","30.00%"
"Dec 02, 2017","0.312000","0.325000","0.333000","0.301000","173.24K","-4.00%"
"Dec 03, 2017","0.445000","0.312000","0.487000","0.312000","541.55K","42.63%"
"Dec 04, 2017","0.517000","0.445000","0.630000","0.372000","609.14K","16.18%"
"Dec 05, 2017","0.795000","0.517000","0.839000","0.425000","930.69K","53.77%"
"Dec 06, 2017","0.567000","0.795000","0.880000","0.529000","436.23K","-28.68%"
"Dec 07, 2017","0.570000","0.567000","0.629000","0.405000","300.75K","0.53%"
"Dec 08, 2017","0.548000","0.570000","0.880000","0.421000","628.46K","-3.86%"
"Dec 09, 2017","0.546000","0.548000","0.699000","0.485000","332.02K","-0.36%"
"Dec 10, 2017","0.461000","0.546000","0.550000","0.423000","1.17M","-15.57%"
"Dec 11, 2017","0.566000","0.461000","0.570000","0.444000","1.09M","22.78%"
"Dec 12, 2017","0.572000","0.566000","0.593000","0.527000","788.16K","1.06%"
"Dec 13, 2017","0.536000","0.572000","0.572000","0.485000","1.04M","-6.29%"
"Dec 14, 2017","0.660000","0.536000","0.750000","0.492000","1.49M","23.13%"
"Dec 15, 2017","0.844000","0.660000","0.973000","0.550000","1.66M","27.88%"
"Dec 16, 2017","0.903000","0.844000","0.944000","0.741000","503.33K","6.99%"
"Dec 17, 2017","1.280000","0.903000","1.300000","0.836000","741.18K","41.75%"
"Dec 18, 2017","1.700000","1.280000","5.000000","1.130000","2.15M","32.81%"
"Dec 19, 2017","1.340000","1.700000","2.100000","1.320000","1.83M","-21.18%"
"Dec 20, 2017","1.400000","1.340000","1.580000","1.000000","1.34M","4.48%"
"Dec 21, 2017","1.520000","1.400000","1.590000","1.330000","473.38K","8.57%"
"Dec 22, 2017","1.290000","1.520000","1.570000","0.930000","483.59K","-15.13%"
"Dec 23, 2017","1.400000","1.290000","1.580000","1.200000","177.58K","8.53%"
"Dec 24, 2017","1.280000","1.400000","1.400000","1.070000","70.86K","-8.57%"
"Dec 25, 2017","1.350000","1.280000","1.380000","1.070000","249.06K","5.47%"
"Dec 26, 2017","1.410000","1.350000","1.490000","1.200000","477.50K","4.44%"
"Dec 27, 2017","1.990000","1.410000","2.990000","1.400000","1.69M","41.13%"
"Dec 28, 2017","1.940000","1.990000","2.170000","1.600000","956.08K","-2.51%"
"Dec 29, 2017","2.310000","1.940000","2.890000","1.810000","1.17M","19.07%"
"Dec 30, 2017","2.060000","2.310000","2.540000","1.900000","900.67K","-10.82%"
"Dec 31, 2017","2.290000","2.060000","2.550000","1.920000","568.20K","11.17%"
"Jan 01, 2018","2.440000","2.290000","2.480000","2.160000","326.56K","6.55%"
