"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2021","25.2903","25.9995","26.0040","25.1883","1.09M","-2.72%"
"Aug 23, 2021","25.9970","26.0035","26.2687","25.5158","1.33M","-0.04%"
"Aug 22, 2021","26.0085","24.9372","27.1006","24.8866","2.87M","4.33%"
"Aug 21, 2021","24.9300","24.4829","26.6754","24.0236","1.88M","1.83%"
"Aug 20, 2021","24.4829","23.8560","24.9573","23.5134","1.43M","2.63%"
"Aug 19, 2021","23.8560","23.4120","23.9079","22.4664","1.17M","1.90%"
"Aug 18, 2021","23.4120","22.2009","24.6080","21.4010","2.78M","5.46%"
"Aug 17, 2021","22.2009","23.4347","24.9800","22.1549","2.71M","-5.27%"
"Aug 16, 2021","23.4358","24.9311","24.9780","23.2125","1.53M","-6.00%"
"Aug 15, 2021","24.9311","26.0869","26.6026","24.1647","2.69M","-4.43%"
"Aug 14, 2021","26.0869","20.7011","27.3088","20.3812","12.59M","26.02%"
"Aug 13, 2021","20.7007","19.7925","24.8366","19.4501","3.76M","4.59%"
"Aug 12, 2021","19.7925","18.6528","19.8194","17.7802","3.95M","6.05%"
"Aug 11, 2021","18.6632","17.5872","19.5611","17.4460","3.22M","6.12%"
"Aug 10, 2021","17.5872","17.2890","17.8182","16.9771","1.54M","1.73%"
"Aug 09, 2021","17.2890","16.2635","17.8568","15.9090","1.52M","6.31%"
"Aug 08, 2021","16.2635","17.3649","17.5267","16.1326","960.87K","-6.35%"
"Aug 07, 2021","17.3654","16.6513","17.3938","16.4484","1.32M","4.29%"
"Aug 06, 2021","16.6513","16.3890","16.7923","16.0158","1.18M","1.63%"
"Aug 05, 2021","16.3836","16.2834","16.5572","15.6609","1.11M","0.62%"
"Aug 04, 2021","16.2834","16.0567","16.3224","15.5500","658.27K","1.41%"
"Aug 03, 2021","16.0563","16.0665","16.2360","15.5135","1.17M","-0.06%"
"Aug 02, 2021","16.0665","15.8316","16.1659","15.5690","806.28K","1.48%"
"Aug 01, 2021","15.8328","16.5528","16.9297","15.6986","1.18M","-4.35%"
"Jul 31, 2021","16.5528","16.2651","16.6845","15.9809","958.99K","1.77%"
"Jul 30, 2021","16.2651","15.7305","16.9349","15.5560","2.67M","3.40%"
"Jul 29, 2021","15.7305","15.6103","15.9394","15.2531","980.26K","0.77%"
"Jul 28, 2021","15.6103","15.0499","16.9568","14.7284","4.03M","3.56%"
"Jul 27, 2021","15.0743","15.0004","15.1272","14.3751","1.25M","0.49%"
"Jul 26, 2021","15.0004","15.3986","16.3290","14.8972","2.41M","-2.46%"
"Jul 25, 2021","15.3793","15.2954","15.8171","15.2131","2.12M","1.72%"
"Jul 24, 2021","15.1191","14.3383","16.0426","14.2291","2.75M","5.45%"
"Jul 23, 2021","14.3383","14.1167","14.5683","13.8008","1.18M","1.57%"
"Jul 22, 2021","14.1165","12.7229","14.7589","12.6508","4.38M","10.96%"
"Jul 21, 2021","12.7219","11.8717","12.9139","11.7074","1.06M","7.16%"
"Jul 20, 2021","11.8717","12.7989","12.9742","11.7111","1.57M","-7.24%"
"Jul 19, 2021","12.7989","13.1716","13.6232","12.7931","1.61M","-2.83%"
"Jul 18, 2021","13.1716","13.1540","13.6652","12.8698","786.13K","0.13%"
"Jul 17, 2021","13.1540","13.4689","13.4689","12.6884","978.22K","-2.34%"
"Jul 16, 2021","13.4689","13.0392","14.0697","12.7513","3.07M","3.29%"
"Jul 15, 2021","13.0392","13.5796","14.2598","12.8157","1.56M","-3.99%"
"Jul 14, 2021","13.5804","13.5232","13.9303","12.8908","1.02M","0.42%"
"Jul 13, 2021","13.5232","13.9540","14.0129","13.3815","574.79K","-3.09%"
"Jul 12, 2021","13.9540","14.3020","14.4494","13.6839","901.44K","-2.43%"
"Jul 11, 2021","14.3019","14.1752","14.4579","13.8722","1.95M","0.89%"
"Jul 10, 2021","14.1752","15.0192","15.2370","14.0101","2.32M","-5.62%"
"Jul 09, 2021","15.0191","14.9283","15.1333","14.3367","1.11M","0.61%"
"Jul 08, 2021","14.9283","16.5250","16.5601","14.9016","1.27M","-9.66%"
"Jul 07, 2021","16.5250","16.1940","17.3939","16.1252","1.65M","2.05%"
"Jul 06, 2021","16.1923","15.9893","16.7687","15.9632","1.14M","1.27%"
"Jul 05, 2021","15.9899","16.9146","17.1887","15.7557","1.74M","-5.47%"
"Jul 04, 2021","16.9146","16.2978","17.8570","16.2978","2.54M","3.78%"
"Jul 03, 2021","16.2978","16.0781","16.4748","15.8105","667.96K","1.37%"
"Jul 02, 2021","16.0781","15.8436","16.2286","15.2110","1.42M","1.13%"
"Jul 01, 2021","15.8981","16.3257","16.3257","14.9863","2.79M","-2.63%"
"Jun 30, 2021","16.3277","15.3515","17.6427","15.0591","6.41M","6.36%"
"Jun 29, 2021","15.3515","14.1141","15.8542","14.0793","1.86M","8.78%"
"Jun 28, 2021","14.1131","13.8707","14.2869","13.5549","1.68M","1.75%"
"Jun 27, 2021","13.8707","13.5418","13.8707","13.1699","1.32M","2.47%"
"Jun 26, 2021","13.5361","13.0116","13.8693","12.8546","3.21M","4.03%"
"Jun 25, 2021","13.0116","13.5292","14.3292","12.5490","6.65M","-3.83%"
"Jun 24, 2021","13.5292","13.0910","13.5368","12.5199","3.34M","3.34%"
"Jun 23, 2021","13.0917","12.4698","13.6890","11.9808","4.28M","4.99%"
"Jun 22, 2021","12.4698","13.9959","14.5758","11.5074","5.78M","-10.90%"
"Jun 21, 2021","13.9959","17.7039","17.7990","13.8305","3.87M","-20.94%"
"Jun 20, 2021","17.7036","15.8708","18.3106","15.6711","5.56M","11.55%"
"Jun 19, 2021","15.8708","16.3738","16.6338","15.5166","1.61M","-3.07%"
"Jun 18, 2021","16.3738","18.3456","18.3501","15.7574","3.31M","-10.75%"
"Jun 17, 2021","18.3456","16.9159","18.8915","16.8287","4.51M","8.45%"
"Jun 16, 2021","16.9159","16.5888","17.4450","16.1397","4.23M","1.97%"
"Jun 15, 2021","16.5888","15.6766","16.8323","15.4260","2.69M","5.82%"
"Jun 14, 2021","15.6766","15.1785","16.1505","14.8669","3.26M","3.28%"
"Jun 13, 2021","15.1785","14.6225","15.3400","14.1242","2.17M","3.94%"
"Jun 12, 2021","14.6026","14.0168","15.4541","13.2988","5.03M","4.18%"
"Jun 11, 2021","14.0168","14.0167","15.2250","13.6750","3.35M","0.13%"
"Jun 10, 2021","13.9981","14.5684","14.6071","13.7777","1.76M","-3.91%"
"Jun 09, 2021","14.5678","14.4501","14.5864","13.4755","2.82M","0.81%"
"Jun 08, 2021","14.4501","14.1915","14.5358","12.8763","4.80M","1.82%"
"Jun 07, 2021","14.1915","16.3662","16.5608","14.0463","4.21M","-13.29%"
"Jun 06, 2021","16.3667","14.1173","16.5181","13.9576","9.32M","15.93%"
