"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","17,775.51","17,665.61","18,432.26","17,276.34","-","0.60%"
"Nov 19, 2020","17,821.75","17,797.65","18,158.95","17,371.03","-","0.26%"
"Nov 20, 2020","18,666.23","17,805.88","18,786.88","17,770.17","-","4.74%"
"Nov 21, 2020","18,667.47","18,662.75","18,950.56","18,388.46","-","0.01%"
"Nov 22, 2020","18,388.82","18,677.93","18,740.87","17,655.89","-","-1.49%"
"Nov 23, 2020","18,384.79","18,375.30","18,728.70","18,001.44","-","-0.02%"
"Nov 24, 2020","19,141.63","18,364.24","19,409.54","18,169.51","-","4.12%"
"Nov 25, 2020","18,720.25","19,131.60","19,494.05","18,506.30","-","-2.20%"
"Nov 26, 2020","17,222.99","18,688.74","18,886.05","16,403.05","-","-8.00%"
"Nov 27, 2020","17,136.86","17,240.79","17,508.75","16,510.24","-","-0.50%"
"Nov 28, 2020","17,743.88","17,157.45","17,888.19","16,917.22","-","3.54%"
"Nov 29, 2020","18,206.88","17,753.33","18,343.73","17,569.40","-","2.61%"
"Nov 30, 2020","19,686.88","18,223.46","19,825.40","18,223.46","-","8.13%"
"Dec 01, 2020","18,831.17","19,694.64","19,973.06","18,301.63","-","-4.35%"
"Dec 02, 2020","19,228.40","18,827.63","19,336.56","18,386.62","-","2.11%"
"Dec 03, 2020","19,454.49","19,221.00","19,641.81","18,923.37","-","1.18%"
"Dec 04, 2020","18,661.31","19,462.06","19,540.93","18,614.94","-","-4.08%"
"Dec 05, 2020","19,159.00","18,647.39","19,178.17","18,488.72","-","2.67%"
"Dec 06, 2020","19,396.70","19,159.00","19,456.23","18,896.77","-","1.24%"
"Dec 07, 2020","19,198.50","19,411.77","19,452.33","18,919.38","-","-1.02%"
"Dec 08, 2020","18,339.44","19,209.57","19,321.87","18,302.54","-","-4.47%"
"Dec 09, 2020","18,570.90","18,302.23","18,640.09","17,734.21","-","1.26%"
"Dec 10, 2020","18,253.01","18,570.90","18,570.90","17,928.78","-","-1.71%"
"Dec 11, 2020","18,073.79","18,263.01","18,293.08","17,626.94","-","-0.98%"
"Dec 12, 2020","18,811.09","18,037.00","18,937.36","18,037.00","-","4.08%"
"Dec 13, 2020","19,198.31","18,832.33","19,421.58","18,748.60","-","2.06%"
"Dec 14, 2020","19,291.36","19,189.03","19,361.46","19,038.43","-","0.48%"
"Dec 15, 2020","19,472.56","19,291.22","19,605.06","19,090.21","-","0.94%"
"Dec 16, 2020","21,315.56","19,468.77","21,441.13","19,338.88","-","9.46%"
"Dec 17, 2020","22,805.66","21,338.31","23,614.46","21,226.13","-","6.99%"
"Dec 18, 2020","23,165.51","22,784.87","23,278.63","22,400.36","-","1.58%"
"Dec 19, 2020","23,846.25","23,144.08","24,119.63","22,788.15","-","2.94%"
"Dec 20, 2020","23,466.23","23,813.38","24,220.34","23,104.64","-","-1.59%"
"Dec 21, 2020","22,742.78","23,438.74","24,101.85","22,054.67","-","-3.08%"
"Dec 22, 2020","23,792.20","22,716.95","23,803.52","22,349.72","-","4.61%"
"Dec 23, 2020","23,216.78","23,813.66","24,076.04","22,718.28","-","-2.42%"
"Dec 24, 2020","23,769.89","23,215.61","23,804.99","22,682.26","-","2.38%"
"Dec 25, 2020","24,678.02","23,786.83","24,801.59","23,457.21","-","3.82%"
"Dec 26, 2020","26,387.28","24,720.71","26,684.01","24,496.69","-","6.93%"
"Dec 27, 2020","26,224.12","26,394.24","28,242.02","25,829.46","-","-0.62%"
"Dec 28, 2020","27,024.07","26,316.76","27,357.61","26,137.67","-","3.05%"
"Dec 29, 2020","27,310.11","27,041.40","27,311.47","25,921.70","-","1.06%"
"Dec 30, 2020","28,885.04","27,316.21","28,959.72","27,316.21","-","5.77%"
"Dec 31, 2020","28,918.45","28,901.73","29,276.72","27,917.37","-","0.12%"
"Jan 01, 2021","29,332.45","28,951.94","29,588.39","28,721.63","-","1.43%"
"Jan 02, 2021","32,117.80","29,332.45","33,177.29","29,024.39","-","9.50%"
"Jan 03, 2021","32,771.95","32,117.80","34,728.79","31,983.97","-","2.04%"
"Jan 04, 2021","31,974.44","32,903.91","33,552.50","28,579.38","-","-2.43%"
"Jan 05, 2021","33,946.39","32,028.80","34,484.48","29,965.53","-","6.17%"
"Jan 06, 2021","36,742.09","33,980.98","36,888.85","33,446.49","-","8.24%"
"Jan 07, 2021","39,266.61","36,815.33","40,255.84","34,697.32","-","6.87%"
"Jan 08, 2021","40,570.21","39,343.97","41,957.62","36,544.79","-","3.32%"
"Jan 09, 2021","40,150.60","40,502.43","41,346.71","38,695.32","-","-1.03%"
"Jan 10, 2021","38,277.84","40,166.73","41,405.21","35,587.19","-","-4.66%"
"Jan 11, 2021","35,512.09","38,263.20","38,263.20","30,642.24","-","-7.23%"
"Jan 12, 2021","34,065.16","35,320.02","36,630.04","32,605.22","-","-4.07%"
"Jan 13, 2021","37,199.25","33,957.13","37,615.91","32,491.06","-","9.20%"
"Jan 14, 2021","39,200.31","37,324.36","40,038.00","36,738.41","-","5.38%"
"Jan 15, 2021","36,818.85","39,179.40","39,726.19","34,593.57","-","-6.08%"
"Jan 16, 2021","36,120.94","36,800.96","37,985.95","35,522.20","-","-1.90%"
"Jan 17, 2021","35,860.52","36,101.70","36,858.41","33,996.61","-","-0.72%"
"Jan 18, 2021","36,664.22","35,886.26","37,524.40","34,846.69","-","2.24%"
"Jan 19, 2021","36,015.12","36,772.06","37,928.36","36,015.12","-","-1.77%"
"Jan 20, 2021","35,526.97","35,834.53","36,430.65","33,424.66","-","-1.36%"
