"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2021","1.24856","1.24630","1.26486","1.21836","781.95M","0.19%"
"Aug 23, 2021","1.24617","1.22577","1.30288","1.21150","927.81M","1.67%"
"Aug 22, 2021","1.22574","1.21654","1.25540","1.18284","530.74M","0.75%"
"Aug 21, 2021","1.21663","1.26316","1.28262","1.20444","588.18M","-3.69%"
"Aug 20, 2021","1.26318","1.23482","1.28762","1.19994","871.18M","2.29%"
"Aug 19, 2021","1.23489","1.14435","1.23489","1.09047","1.03B","7.90%"
"Aug 18, 2021","1.14452","1.09869","1.19405","1.05220","1.26B","4.17%"
"Aug 17, 2021","1.09875","1.18577","1.22258","1.08688","1.27B","-7.34%"
"Aug 16, 2021","1.18577","1.28414","1.32792","1.15028","1.28B","-7.68%"
"Aug 15, 2021","1.28447","1.28017","1.34807","1.22585","1.62B","0.34%"
"Aug 14, 2021","1.28015","1.09002","1.30885","1.07095","2.04B","17.45%"
"Aug 13, 2021","1.08995","0.96602","1.09604","0.95173","1.03B","12.98%"
"Aug 12, 2021","0.96470","1.01229","1.04384","0.92468","1.44B","-4.71%"
"Aug 11, 2021","1.01233","0.85131","1.08800","0.84927","1.63B","18.91%"
"Aug 10, 2021","0.85131","0.81707","0.86177","0.80027","714.81M","4.17%"
"Aug 09, 2021","0.81724","0.77911","0.82748","0.76058","698.49M","4.89%"
"Aug 08, 2021","0.77911","0.81666","0.84032","0.77291","771.73M","-4.60%"
"Aug 07, 2021","0.81666","0.74711","0.81814","0.74124","840.12M","9.33%"
"Aug 06, 2021","0.74695","0.73306","0.75272","0.72261","432.77M","1.89%"
"Aug 05, 2021","0.73307","0.73073","0.73864","0.70237","443.99M","0.33%"
"Aug 04, 2021","0.73064","0.71325","0.73973","0.69730","458.20M","2.44%"
"Aug 03, 2021","0.71325","0.73850","0.74441","0.70140","569.49M","-3.43%"
"Aug 02, 2021","0.73859","0.72413","0.77281","0.71673","570.73M","1.91%"
"Aug 01, 2021","0.72477","0.74443","0.77765","0.71333","638.45M","-2.63%"
"Jul 31, 2021","0.74434","0.75206","0.75794","0.73811","499.42M","-0.97%"
"Jul 30, 2021","0.75161","0.74829","0.76911","0.71526","848.52M","0.46%"
"Jul 29, 2021","0.74820","0.73316","0.76498","0.69777","716.25M","2.27%"
"Jul 28, 2021","0.73159","0.64548","0.75232","0.63123","1.65B","13.34%"
"Jul 27, 2021","0.64548","0.62379","0.65232","0.61272","587.13M","3.46%"
"Jul 26, 2021","0.62389","0.60685","0.67746","0.60502","1.09B","2.81%"
"Jul 25, 2021","0.60685","0.60496","0.60709","0.59105","339.10M","0.03%"
"Jul 24, 2021","0.60665","0.60909","0.61383","0.60219","463.40M","-0.39%"
"Jul 23, 2021","0.60902","0.59191","0.60974","0.57613","489.18M","2.89%"
"Jul 22, 2021","0.59192","0.57140","0.60286","0.56107","588.63M","3.59%"
"Jul 21, 2021","0.57139","0.52863","0.58313","0.51981","673.86M","8.09%"
"Jul 20, 2021","0.52864","0.55711","0.56920","0.51755","574.85M","-5.11%"
"Jul 19, 2021","0.55711","0.58674","0.58871","0.55441","443.79M","-5.06%"
"Jul 18, 2021","0.58677","0.58167","0.60112","0.57280","326.27M","0.88%"
"Jul 17, 2021","0.58164","0.58928","0.59714","0.56785","388.91M","-1.30%"
"Jul 16, 2021","0.58930","0.59773","0.61707","0.58802","407.51M","-1.36%"
"Jul 15, 2021","0.59744","0.61985","0.62613","0.58871","465.25M","-3.62%"
